Group No,Group Name,Name,Sub Name,Repeater Call Sign,Gateway Call Sign,Frequency,Dup,Offset,Mode,TONE,Repeater Tone,RPT1USE,Position,Latitude,Longitude,UTC Offset
1,United Kingdom,Northampton,England,GB3NH,,430.950000,DUP+,7.600000,FM,TONE,77.0Hz,YES,Approximate,52.240000,-0.890000,0:00
1,United Kingdom,North London,England,GB3LV,,433.050000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,51.650000,-0.080000,0:00
1,United Kingdom,North London,No CTCSS,GB3NL,,145.775000,DUP-,0.600000,FM,OFF,88.5Hz,YES,Approximate,51.650000,-0.080000,0:00
1,United Kingdom,Northwich,England,GB3SJ,,145.687500,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,53.220000,-2.520000,0:00
1,United Kingdom,Northwich,England,GB7DH  B,GB7DH  G,439.587500,DUP-,9.000000,DV,,,YES,Approximate,53.200000,-2.500000,0:00
1,United Kingdom,Northwich,England,GB7SJ,,433.175000,DUP+,1.600000,FM,TONE,103.5Hz,YES,Approximate,53.220000,-2.520000,0:00
1,United Kingdom,Norwich,England,GB3NB,,145.625000,DUP-,0.600000,FM,TONE,94.8Hz,YES,Approximate,52.570000,1.330000,0:00
1,United Kingdom,Norwich,England,GB3NR,,433.000000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,52.630000,1.280000,0:00
1,United Kingdom,Norwich,England,GB7DS  B,GB7DS  G,439.425000,DUP-,9.000000,DV,,,YES,Approximate,52.650000,1.290000,0:00
1,United Kingdom,Norwich,England,GB7NB  B,GB7NB  G,439.687500,DUP-,9.000000,DV,,,YES,Approximate,52.570000,1.330000,0:00
1,United Kingdom,Nottingham,England,GB3FU,,145.750000,DUP-,0.600000,FM,TONE,71.9Hz,YES,Approximate,53.000000,-1.200000,0:00
1,United Kingdom,Nottingham,England,GB3NF,,145.625000,DUP-,0.600000,FM,TONE,77.0Hz,YES,Approximate,53.000000,-1.100000,0:00
1,United Kingdom,Nottingham,England,GB3NM,,433.175000,DUP+,1.600000,FM,TONE,71.9Hz,YES,Approximate,53.000000,-1.100000,0:00
1,United Kingdom,Nottingham,England,GB3NU,,439.325000,DUP-,9.000000,FM,TONE,71.9Hz,YES,Approximate,53.000000,-1.100000,0:00
1,United Kingdom,Nottingham,England,GB3NU  B,GB3NU  G,439.325000,DUP-,9.000000,DV,,,YES,Approximate,53.000000,-1.100000,0:00
1,United Kingdom,Nottingham,No CTCSS,GB7FU,,430.887500,DUP+,7.600000,FM,OFF,88.5Hz,YES,Approximate,53.000000,-1.200000,0:00
1,United Kingdom,Nottingham,England,GB7NR  B,GB7NR  G,439.437500,DUP-,9.000000,DV,,,YES,Approximate,52.990000,-1.110000,0:00
1,United Kingdom,Omagh,Northern,GB3OM,,430.950000,DUP+,7.600000,FM,TONE,110.9Hz,YES,Approximate,54.670000,-7.210000,0:00
1,United Kingdom,Omagh,Northern,GB3WT,,145.775000,DUP-,0.600000,FM,TONE,110.9Hz,YES,Approximate,54.670000,-7.210000,0:00
1,United Kingdom,Omagh,Northern,GB7WT  B,GB7WT  G,439.600000,DUP-,9.000000,DV,,,YES,Approximate,54.690000,-7.400000,0:00
1,United Kingdom,Otley,England,GB3WF,,433.350000,DUP+,1.600000,FM,TONE,82.5Hz,YES,Approximate,53.890000,-1.690000,0:00
1,United Kingdom,Paisley,Scotland,GB3PA,,145.625000,DUP-,0.600000,FM,TONE,103.5Hz,YES,Approximate,55.910000,-4.590000,0:00
1,United Kingdom,Peel,England,GB3IM P,,430.875000,DUP+,7.600000,FM,TONE,110.9Hz,YES,Approximate,54.220000,-4.700000,0:00
1,United Kingdom,Pembroke,Wales &,GB3SP,,433.100000,DUP+,1.600000,FM,TONE,94.8Hz,YES,Approximate,51.670000,-4.830000,0:00
