"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","REG","Netw","Col","QTHR","NGR","WHERE","DMR","DSTAR","FUSION","NXDN",
GB7PO,70CM,DVU59,439.737500,430.737500,,SW,,,IO90KT,SU6300,PORTSMOUTH,,,Y,,
GB7PR,70CM,U324,434.050000,434.050000,,NOR,,,IO83RU,SD6238,LONGRIDGE,,,,,
GB7PS,2M,RV55,145.687500,145.087500,,SW,BRANDMEISTER,3,IO90,SU6501,PORTSMOUTH,Y,,,,
GB7PT,70CM,DVU57,439.712500,430.712500,,SE,,,IO92XA,TL3736,ROYSTON,Y,Y,Y,,
GB7PX,70CM,DVU62,439.775000,430.775000,,SE,BRANDMEISTER/PHOENIX,10,IO92XA,TL3736,ROYSTON,Y,Y,,,
GB7PY,70CM,RU74,430.925000,438.525000,,SE,BRANDMEISTER/PHOENIX,3,JO02AF,TL3959,CAMBRIDGE,Y,,,,
GB7RA,70CM,DVU52,439.650000,430.650000,,NOR,BRANDMEISTER,5,IO83LH,SJ2978,NESTON,Y,Y,Y,,
GB7RB-C,2M,RV54,145.675000,145.075000,,WM,,,IO81GK,ST0173,COWBRIDGE,,Y,,,
GB7RC,70CM,DVU-R21,430.262500,439.262500,,SW,,,IO81,SO9924,CHELTENHAM,,Y,,,
GB7RD,70CM,DVU55,439.687500,430.687500,,SW,SW CLUSTER,3,IO70,SX5368,YELVERTON,Y,,,,
GB7RE,70CM,DVU57,439.712500,430.712500,,CEN,FREESTAR,1,IO93MH,SK7180,RETFORD,Y,,,,
GB7RG,70CM,RU79,430.987500,438.587500,103.5,SCOT,BRANDMEISTER,5,IO74LV,NX0460,STRANRAER,Y,,,,
GB7RH,70CM,DVU-R24,430.300000,439.300000,123,SE,,10,JO00,TQ5721,HEATHFIELD,Y,,,,
GB7RJ,70CM,DVU43,439.537500,430.537500,,WM,BRANDMEISTER,5,IO82LW,SJ2936,CHIRK,Y,Y,,,
GB7RL,70CM,DVU62,439.775000,430.775000,,NOR,BRANDMEISTER,10,IO83RU,SD6238,LONGRIDGE,Y,Y,Y,Y,
GB7RM,70CM,U324,434.050000,434.050000,,SE,,,JO01CO,TQ5391,ROMFORD,,,,,
GB7RN,2M,RV51,145.637500,145.037500,,SW,,,IO90JT,SU5704,FAREHAM,,Y,,,
GB7RO,70CM,DVU-R21,430.262500,439.262500,,NOR,,,IO83UQ,SD7923,HASLINGDEN,,,Y,,
GB7RR,70CM,DVU49,439.612500,430.612500,,CEN,freeDMR,1,IO92,SK5043,KIMBERLEY,Y,,,,
GB7RS,70CM,DVU49,439.612500,430.612500,,SE,BRANDMEISTER,4,IO91PX,SP8633,MILTON KEYNES,Y,,,,
GB7RT,70CM,DVU33,439.412500,430.412500,,SW,BRANDMEISTER,3,IO91,SU9566,SUNNINGDALE,Y,,,,
GB7RU,70CM,DVU-R20,430.250000,439.250000,123,SE,,10,JO00,TQ5801,EASTBOURNE,Y,,,,
GB7RV,70CM,DVU50,439.625000,430.625000,,NOR,NORTHERN DMR CLUSTER,2,IO83,SD6832,BLACKBURN,Y,,,,
GB7RW,2M,RV48,145.600000,145.000000,88.5,NOR,,,IO94SO,NZ9304,WHITBY,,Y,,,
