"CALL","BAND","CHAN","txMHz","rxMHz","CTCSS","LOC","WHERE","ANALOG","DMR","DSTAR","FUSION",
GB3GD,2M,RV50,145.625000,145.025000,110.9,IO74SG,SNAEFELL IOM,Y,,,,
GB3GF,70CM,RB12,433.300000,434.900000,88.5,IO91RF,GUILDFORD,Y,,,,
GB3GH,70CM,RB05,433.125000,434.725000,118.8,IO81VU,GLOUCESTER,Y,,,,
GB3GJ,2M,RV51,145.637500,145.037500,71.9,IN89WE,ST HELIER,Y,Y,,,
GB3GL,70CM,RU72,430.900000,438.500000,103.5,IO75WU,GLASGOW,Y,,,Y,
GB3GN,2M,RV62,145.775000,145.175000,67,IO87TA,BANCHORY,Y,,,,
GB3GO,2M,RV63,145.787500,145.187500,110.9,IO83BH,LLANDUDNO,Y,,,Y,
GB3GR,70CM,RU68,430.850000,438.450000,71.9,IO92QV,GRANTHAM,Y,,,,
GB3GU,70CM,RB13,433.325000,434.925000,71.9,IN89RK,GUERNSEY,Y,,,,
GB3GY,70CM,RB11,433.275000,434.875000,88.5,IO93XN,CLEETHORPES,Y,,,,
GB3HA,2M,RV60,145.750000,145.150000,118.8,IO85XA,CORBRIDGE,Y,,,Y,
GB3HB,70CM,RB15,433.375000,434.975000,77,IO70OJ,ROCHE,Y,,,Y,
GB3HC,70CM,RB06,433.150000,434.750000,118.8,IO82PB,HEREFORD,Y,,,Y,
GB3HD,70CM,RB09,433.225000,434.825000,82.5,IO93BP,HUDDERSFIELD,Y,,,Y,
GB3HE,70CM,RU74,430.925000,438.525000,103.5,JO00HV,HASTINGS,Y,,,Y,
GB3HF,10M,,29.690000,29.590000,103.5,IO82KW,LLANGOLLEN,Y,,,,
GB3HG,2M,RV50,145.625000,145.025000,88.5,IO94JF,THIRSK,Y,,,Y,
GB3HH,2M,RV56,145.700000,145.100000,71.9,IO93BF,BUXTON,Y,,,,
GB3HI,2M,RV56,145.700000,145.100000,103.5,IO76DK,ISLE OF MULL,Y,,,,
GB3HJ,70CM,RB01,433.025000,434.625000,118.8,IO94EB,HARROGATE,Y,,,,
GB3HM,6M,R50-11,50.820000,51.320000,71.9,IO93GA,BELPER,Y,,,,
GB3HN,70CM,RB01,433.025000,434.625000,103.5,IO82QJ,LUDLOW,Y,,,,
GB3HO,70CM,RU71,430.887500,438.487500,88.5,IO91TB,HORSHAM,Y,,,,
GB3HR,70CM,RB14,433.350000,434.950000,82.5,IO91TO,HARROW,Y,,,,
GB3HS,2M,RV52,145.650000,145.050000,88.5,IO93RS,HULL,Y,,Y,Y,
GB3HT,70CM,RB11,433.275000,434.875000,77.0,IO92HN,HINCKLEY,Y,,,,
GB3HW,70CM,RB13,433.325000,434.925000,110.9,JO01CN,GIDEA PARK,Y,,,,
GB3HX,6M,R50-05,50.760000,51.260000,103.5,JO00HV,HASTINGS,Y,,,,
