"repeater","band","channel","TX","RX","mode","QTHR","where","region","code","keeper","status",
GB3HH,2M,RV56,145.700000,145.100000,AV,IO93BF,BUXTON,MIDL,71.9,G7EKY,OPERATIONAL,
GB3HI,2M,RV56,145.700000,145.100000,AV,IO76DK,ISLE OF MULL,SCOT,103.5,MM0JRM,NOT OPERATIONAL,
GB3HJ,70CM,RB01,433.025000,434.625000,AV,IO94EB,HARROGATE,NOR,118.8,G4MEM,OPERATIONAL,
GB3HM,6M,R50-11,50.820000,51.320000,AV,IO93GA,BELPER,MIDL,71.9,G8IQP,OPERATIONAL,
GB3HN,70CM,RB01,433.025000,434.625000,AV,IO82QJ,LUDLOW,WM,103.5,M0HOY,OPERATIONAL,
GB3HO,70CM,RU71,430.887500,438.487500,AV,IO91TB,HORSHAM,SE,88.5,G4EFO,OPERATIONAL,
GB3HR,70CM,RB14,433.350000,434.950000,AV,IO91TO,HARROW,SE,82.5,G3YXZ,REDUCED OUTPUT,
GB3HS,2M,RV52,145.650000,145.050000,MULTI,IO93RS,HULL,NOR,88.5,G3GJA,OPERATIONAL,
GB3HT,70CM,RB11,433.275000,434.875000,AV,IO92HN,HINCKLEY,MIDL,77.0,M0RVD,OPERATIONAL,
GB3HW,70CM,RB13,433.325000,434.925000,AV,JO01CN,GIDEA PARK,SE,110.9,G4GBW,OPERATIONAL,
GB3HX,6M,R50-05,50.760000,51.260000,AV,JO00HV,HASTINGS,SE,103.5,M0HOW,NOT OPERATIONAL,
GB3HY,70CM,RU72,430.900000,438.500000,AV,IO90WX,HAYWARDS HEATH,SE,88.5,G6DGK,OPERATIONAL,
GB3IC,70CM,RB05,433.125000,434.725000,AV,IO82WO,WOLVERHAMPTON,MIDL,67,G7CFC,OPERATIONAL,
GB3IE,70CM,RU68,430.850000,438.450000,DSTAR,IO70XJ,PLYMOUTH,SW,77,G7DQC,NOT OPERATIONAL,
GB3IG,2M,RV62,145.775000,145.175000,AV,IO68QE,STORNOWAY,SCOT,88.5,GM0LZE,OPERATIONAL,
GB3IH,70CM,RB04,433.100000,434.700000,AV,JO02OB,IPSWICH,SE,110.9,G7CIY,OPERATIONAL,
GB3IK,2M,RV61,145.762500,145.162500,AV,JO01FJ,ROCHESTER,SE,103.5,G6CKK,OPERATIONAL,
GB3IM-C,70CM,RU66,430.825000,438.425000,AV,IO74SD,DOUGLAS  IOM,NOR,110.9,GD4HOZ,OPERATIONAL,
GB3IM-P,70CM,RU70,430.875000,438.475000,AV,IO74PF,PEEL,NOR,110.9,GD4HOZ,OPERATIONAL,
GB3IM-R,70CM,RU66,430.825000,438.425000,AV,IO74TI,RAMSEY  IOM,NOR,71.9,GD4HOZ,OPERATIONAL,
GB3IM-S,70CM,RB05,433.125000,434.725000,AV,IO74SG,DOUGLAS  IOM,NOR,110.9,GD4HOZ,OPERATIONAL,
